State,District,Market,Commodity,Date,Arrival_Quantity,Arrival_Unit,Modal_Price,Price_Unit
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,20-07-2024,159,Metric Tonnes,7351,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,22-07-2024,442,Metric Tonnes,7329,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,23-07-2024,461,Metric Tonnes,7379,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,24-07-2024,478,Metric Tonnes,7359,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,25-07-2024,769,Metric Tonnes,7329,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,26-07-2024,657,Metric Tonnes,7371,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,27-07-2024,230,Metric Tonnes,7359,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,29-07-2024,1177,Metric Tonnes,7360,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,30-07-2024,876,Metric Tonnes,7400,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,31-07-2024,784,Metric Tonnes,7389,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,01-08-2024,721,Metric Tonnes,7379,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,02-08-2024,716,Metric Tonnes,7370,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,03-08-2024,449,Metric Tonnes,7369,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,05-08-2024,270,Metric Tonnes,7479,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,06-08-2024,661,Metric Tonnes,7419,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,07-08-2024,214,Metric Tonnes,7471,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,08-08-2024,279,Metric Tonnes,7429,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,09-08-2024,368,Metric Tonnes,7370,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,10-08-2024,268,Metric Tonnes,7429,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,12-08-2024,503,Metric Tonnes,7389,Rs./Quintal
